Server         Port 
============== =====

192.168.1.30   1992 
192.168.1.30   1990 
192.168.1.30   1987 
192.168.1.30   1943 
192.168.1.30   1942 
192.168.1.30   1940 
192.168.1.30   1938 
192.168.1.30   1937 
192.168.1.30   1895 
192.168.1.30   1894 
192.168.1.30   1893 
192.168.1.30   1863 
192.168.1.30   1860 
192.168.1.30   1858 
192.168.1.30   1856 
192.168.1.30   1854 
192.168.1.30   1802 
192.168.1.30   1801 
192.168.1.30   1770 
192.168.1.30   1768 
192.168.1.30   1767 
192.168.1.30   1762 
192.168.1.30   1021 
192.168.1.30   80   
192.168.1.30   25   
192.168.1.30   23   
192.168.1.30   21   
192.168.0.40   43611
192.168.0.40   43609
192.168.0.40   43607
192.168.0.40   43605
192.168.0.40   43564
192.168.0.40   43563
192.168.0.40   43562
192.168.0.40   43558
192.168.0.40   43554
192.168.0.40   43552
192.168.0.40   43550
192.168.0.40   43548
192.168.0.40   43544
192.168.0.40   43542
192.168.0.40   43537
192.168.0.40   43536
192.168.0.40   43534
192.168.0.40   43510
192.168.0.40   43509
192.168.0.40   43508
192.168.0.40   43506
192.168.0.40   43505
192.168.0.40   6000 
192.168.0.40   2049 
192.168.0.40   514  
192.168.0.40   513  
192.168.0.40   512  
192.168.0.40   111  
192.168.0.40   80   
192.168.0.40   79   
192.168.0.40   23   
192.168.0.40   21   
192.168.0.20   514  
192.168.0.20   513  
192.168.0.20   512  
192.168.0.20   111  
192.168.0.20   79   
192.168.0.20   25   
192.168.0.20   23   
192.168.0.20   21   
